29
0	530	1158	772	483	332	1217	364	616	629	1249	540	457	1238	948	575	1488	1134	817	671	320	1422	864	282	979	757	460	186	820	
530	0	730	573	389	573	1435	861	621	359	1130	837	467	967	769	796	1142	818	820	273	228	1168	1281	650	1086	490	864	678	419	
1158	730	0	1218	713	990	2160	1521	769	1028	1735	1149	1195	1467	1386	1526	1512	1300	1516	890	852	1652	1991	1355	1797	452	1570	1233	338	
772	573	1218	0	930	1010	1006	910	1161	214	557	1271	326	466	200	539	728	376	326	331	675	654	1099	648	614	1062	779	957	963	
483	389	713	930	0	283	1648	841	233	721	1483	499	724	1351	1130	985	1531	1205	1118	660	272	1552	1346	736	1349	279	936	524	393	
332	573	990	1010	283	0	1549	637	306	825	1532	269	732	1465	1203	905	1682	1338	1120	810	361	1660	1160	615	1304	543	779	280	676	
1217	1435	2160	1006	1648	1549	0	993	1825	1149	816	1718	969	1141	934	663	1421	1208	680	1293	1388	1170	620	935	396	1880	793	1319	1853	
364	861	1521	910	841	637	993	0	942	843	1261	742	595	1351	1039	479	1634	1286	815	931	675	1509	524	264	866	1118	212	362	1183	
616	621	769	1161	233	306	1825	942	0	953	1711	382	937	1585	1361	1168	1761	1438	1334	893	492	1785	1464	894	1550	327	1074	586	513	
629	359	1028	214	721	825	1149	843	953	0	771	1092	262	642	412	581	865	515	488	144	475	839	1132	582	772	849	758	814	756	
1249	1130	1735	557	1483	1532	816	1261	1711	771	0	1781	801	362	361	785	611	490	447	876	1220	354	1215	1039	501	1618	1068	1423	1508	
540	837	1149	1271	499	269	1718	742	382	1092	1781	0	981	1731	1462	1105	1951	1606	1356	1079	630	1924	1254	805	1514	701	927	400	871	
457	467	1195	326	724	732	969	595	937	262	801	981	0	788	492	340	1054	700	396	383	452	967	876	331	631	924	496	640	884	
1238	967	1467	466	1351	1465	1141	1351	1585	642	362	1731	788	0	312	918	301	168	586	695	1117	201	1435	1097	775	1430	1192	1424	1289	
948	769	1386	200	1130	1203	934	1039	1361	412	361	1462	492	312	0	609	605	293	294	515	874	477	1142	787	541	1257	880	1131	1148	
575	796	1526	539	985	905	663	479	1168	581	785	1105	340	918	609	0	1214	888	347	716	726	1056	561	301	410	1220	284	710	1206	
1488	1142	1512	728	1531	1682	1421	1634	1761	865	611	1951	1054	301	605	1214	0	355	886	877	1324	275	1736	1374	1069	1562	1484	1674	1396	
1134	818	1300	376	1205	1338	1208	1286	1438	515	490	1606	700	168	293	888	355	0	587	546	982	361	1431	1024	823	1270	1146	1320	1124	
817	820	1516	326	1118	1120	680	815	1334	488	447	1356	396	586	294	347	886	587	0	629	846	711	851	592	288	1302	630	985	1234	
671	273	890	331	660	810	1293	931	893	144	876	1079	383	695	515	716	877	546	629	0	449	896	1259	679	914	747	871	848	633	
320	228	852	675	272	361	1388	675	492	475	1220	630	452	1117	874	726	1324	982	846	449	0	1315	1141	508	1078	495	721	452	515	
1422	1168	1652	654	1552	1660	1170	1509	1785	839	354	1924	967	201	477	1056	275	361	711	896	1315	0	1540	1262	842	1630	1337	1607	1486	
864	1281	1991	1099	1346	1160	620	524	1464	1132	1215	1254	876	1435	1142	561	1736	1431	851	1259	1141	1540	0	636	718	1617	420	886	1655	
282	650	1355	648	736	615	935	264	894	582	1039	805	331	1097	787	301	1374	1024	592	679	508	1262	636	0	710	995	215	410	1020	
979	1086	1797	614	1349	1304	396	866	1550	772	501	1514	631	775	541	410	1069	823	288	914	1078	842	718	710	0	1556	655	1120	1504	
757	490	452	1062	279	543	1880	1118	327	849	1618	701	924	1430	1257	1220	1562	1270	1302	747	495	1630	1617	995	1556	0	1202	801	198	
460	864	1570	779	936	779	793	212	1074	758	1068	927	496	1192	880	284	1484	1146	630	871	721	1337	420	215	655	1202	0	529	1234	
186	678	1233	957	524	280	1319	362	586	814	1423	400	640	1424	1131	710	1674	1320	985	848	452	1607	886	410	1120	801	529	0	903	
820	419	338	963	393	676	1853	1183	513	756	1508	871	884	1289	1148	1206	1396	1124	1234	633	515	1486	1655	1020	1504	198	1234	903	0	
